date,count,fines
2016-05-23,8561,593725.0
2016-05-24,8700,606462.0
2016-05-25,8514,600921.0
2016-05-26,8733,610723.0
2016-05-27,7668,541122.0
2016-05-28,500,33438.0
2016-05-29,550,40940.0
2016-05-30,1608,126295.0
2016-05-31,8884,636098.0
2016-06-01,8201,577913.0
2016-06-02,7992,568637.0
2016-06-03,7297,506881.0
2016-06-04,486,34309.0
2016-06-05,2169,154843.0
2016-06-06,8220,571429.0
2016-06-07,8354,587095.0
2016-06-08,8184,568713.0
2016-06-09,8721,612123.0
2016-06-10,7419,519820.0
2016-06-11,566,44791.0
2016-06-12,1872,135224.0
2016-06-13,7434,525813.0
2016-06-14,8508,597360.0
2016-06-15,8242,581536.0
2016-06-16,8454,594845.0
2016-06-17,7572,533360.0
2016-06-18,455,31308.0
2016-06-19,1984,142737.0
2016-06-20,7474,526245.0
2016-06-21,8369,586381.0
2016-06-22,8348,580259.0
2016-06-23,8099,584346.0
2016-06-24,6408,455092.0
2016-06-25,98,7194.0
2016-06-26,1842,131532.0
2016-06-27,7477,528779.0
2016-06-28,7985,565519.0
2016-06-29,7467,525030.0
2016-06-30,8352,589966.0
2016-07-01,7271,511453.0
2016-07-02,4485,299680.0
2016-07-03,1660,113612.0
2016-07-04,1129,86450.0
2016-07-05,8084,564039.0
2016-07-06,7322,516287.0
2016-07-07,7616,532753.0
2016-07-08,6818,476252.0
2016-07-09,4256,276477.0
2016-07-10,2136,151751.0
2016-07-11,7830,546853.0
2016-07-12,7970,558960.0
2016-07-13,7639,537867.0
2016-07-14,7852,554024.0
2016-07-15,6767,477221.0
2016-07-16,186,13704.0
2016-07-17,2088,149856.0
2016-07-18,7429,516256.0
2016-07-19,7104,501541.0
2016-07-20,7022,501034.0
2016-07-21,7124,496494.0
2016-07-22,6772,469939.0
2016-07-23,200,14343.0
2016-07-24,2057,151497.0
2016-07-25,7231,516342.0
2016-07-26,7782,543620.0
2016-07-27,7417,524536.0
2016-07-28,7752,546435.0
2016-07-29,6649,470923.0
2016-07-30,267,17433.0
2016-07-31,1909,133765.0
2016-08-01,7213,504417.0
2016-08-02,7966,555242.0
2016-08-03,7653,531151.0
2016-08-04,7807,545832.0
2016-08-05,7234,506718.0
2016-08-06,4552,299437.0
2016-08-07,2334,159357.0
2016-08-08,7708,541530.0
2016-08-09,8404,593016.0
2016-08-10,7717,546622.0
2016-08-11,8378,589052.0
2016-08-12,7118,497835.0
2016-08-13,4190,275343.0
2016-08-14,2263,159465.0
2016-08-15,7391,524412.0
2016-08-16,7899,554776.0
2016-08-17,7239,505640.0
2016-08-18,7957,548787.0
2016-08-19,6634,467389.0
2016-08-20,4407,295320.0
2016-08-21,2148,148178.0
2016-08-22,7646,540234.0
2016-08-23,8068,568074.0
2016-08-24,7237,509533.0
2016-08-25,8262,581535.0
2016-08-26,6878,486382.0
2016-08-27,4770,316596.0
2016-08-28,112,8611.0
2016-08-29,6894,486597.0
2016-08-30,7696,535390.0
2016-08-31,7341,521025.0
2016-09-01,162,11323.0
2016-09-02,38,2257.0
2016-09-03,77,4898.0
2016-09-04,302,23480.0
2016-09-05,1210,88604.0
2016-09-06,8089,555510.0
2016-09-07,7119,496679.0
2016-09-08,7160,494350.0
2016-09-09,6846,473040.0
2016-09-10,4873,318889.0
2016-09-11,2412,166866.0
2016-09-12,7587,530465.0
2016-09-13,8425,588703.0
2016-09-14,7201,501591.0
2016-09-15,8613,599763.0
2016-09-16,7266,513428.0
2016-09-17,4796,316549.0
2016-09-18,2087,149401.0
2016-09-19,7265,511690.0
2016-09-20,8212,573867.0
2016-09-21,7661,540448.0
2016-09-22,8202,571883.0
2016-09-23,7070,500132.0
2016-09-24,4548,307388.0
2016-09-25,2268,158672.0
2016-09-26,7385,532140.0
2016-09-27,8323,580338.0
2016-09-28,7662,540376.0
2016-09-29,8290,586477.0
2016-09-30,7469,524527.0
2016-10-01,4257,293667.0
2016-10-02,2376,165077.0
2016-10-03,7275,511489.0
2016-10-04,7680,524561.0
2016-10-05,8155,569046.0
2016-10-06,8432,585379.0
2016-10-07,7741,534411.0
2016-10-08,4570,303918.0
2016-10-09,2412,167945.0
2016-10-10,1188,89267.0
