Route No,Council District,Time Start,Time End,Boundaries
14P200 Th,5,10:00 AM,1:00 PM,Santa Monica Bl. to Olympic Bl. / Parnell Av. to Westwood Bl.
14P201 F,5,8:00 AM,11:00 AM,Olympic Bl. to Pico Bl. / Fox Hills Dr. to Sepulveda Bl.
14P201 Th,5,8:00 AM,11:00 AM,Olympic Bl. to Pico Bl. / Fox Hills Dr. to Sepulveda Bl.
14P202 F,5,8:00 AM,11:00 AM,Westwood Bl. to Cotner Av. / Santa Monica Bl. to Wilshire Bl.
14P202 Th,5,8:00 AM,11:00 AM,Westwood Bl. to Cotner Av. / Santa Monica Bl. to Wilshire Bl.
14P203 F,5,8:00 AM,11:00 AM,Santa Monica Bl. to Olympic Bl. / Fox Hills Dr. to Parnell Av.
14P203 Th,5,8:00 AM,11:00 AM,Santa Monica Bl. to Olympic Bl. / Fox Hills Dr. to Parnell Av.
14P283 F,5,12:00 PM,3:00 PM,Lindbrook Dr. to Rochester Av. / Club View Dr. to Selby Av.
14P283 Th,5,12:00 PM,3:00 PM,Lindbrook Dr. to Rochester Av. / Club View Dr. to Selby Av.
14P357 F,5,12:00 PM,3:00 PM,Rochester Av. to Santa Monica Bl. / Comstock Av. to Manning Av.
14P357 Th,5,12:00 PM,3:00 PM,Rochester Av. to Santa Monica Bl. / Comstock Av. to Manning Av.
15P191 F,5,8:00 AM,10:00 AM,VENTURA BL. TO VALLEY VISTA BL. / SAN DIEGO FRWY TO BALBOA BL.
15P191 M,5,8:00 AM,10:00 AM,VENTURA BL. TO VALLEY VISTA BL. / SAN DIEGO FRWY TO BALBOA BL.
15P194 F,3,10:00 AM,12:00 PM,BURBANK BL. TO RANCHO ST. / BALBOA BL. TO YOLANDA AV.
15P194 M,5,10:00 AM,12:00 PM,BURBANK BL. TO RANCHO ST. / BALBOA BL. TO YOLANDA AV.
15P298 F,3,12:00 PM,2:00 PM,VENTURA BL. TO WELLS DR. / CANOGA AV. TO PENFIELD AV.
15P298 M,3,12:00 PM,2:00 PM,VENTURA BL. TO WELLS DR. / CANOGA AV. TO PENFIELD AV.
15P299 M,3,12:00 PM,2:00 PM,VENTURA BL. TO AVE. SAN LUIS / ABBEYVILLE AV. TO DON PIO DR.
15P299 Tu,3,12:00 PM,2:00 PM,VENTURA BL. TO AVE. SAN LUIS / ABBEYVILLE AV. TO DON PIO DR.
4P108 M,13,8:00 AM,11:00 AM,Hoover st to Shatto Pl- 1st to 6th st
16P194 F,4,10:00 AM,12:00 PM,Ventura Bl. to Valley Vista St. / Van Nuys Bl. to Sepulveda Bl.
16P194 Th,4,10:00 AM,12:00 PM,Ventura Bl. to Valley Vista St. / Van Nuys Bl. to Sepulveda Bl.
16P195 F,4,8:00 AM,10:00 AM,Ventura Fwy to Ventura Bl. / Van Nuys Bl. to Sepulveda Bl.
16P195 Th,4,8:00 AM,10:00 AM,Ventura Fwy to Ventura Bl. / Van Nuys Bl. to Sepulveda Bl.
16P196 M,4,8:00 AM,10:00 AM,Ventura Bl. to Milaca Pl. / Woodman Av. to Van Nuys Bl.
16P196 Tu,4,8:00 AM,10:00 AM,Ventura Bl. to Milaca Pl. / Woodman Av. to Van Nuys Bl.
16P197 F,4,8:00 AM,10:00 AM,Ventura Fwy to Valley Vista Bl. / Coldwater Cyn. Av. to Woodman Av.
16P197 Th,4,8:00 AM,10:00 AM,Ventura Fwy to Valley Vista Bl. / Coldwater Cyn. Av. to Woodman Av.
16P198 M,2/4,8:00 AM,10:00 AM,Ventura Fwy. To Maxwellton Rd. / Radford Av. to Coldwater Cyn Av.
16P198 Tu,2/4,8:00 AM,10:00 AM,Ventura Fwy. To Maxwellton Rd. / Radford Av. to Coldwater Cyn Av.
16P297 F,2/4,8:00 AM,10:00 AM,Ventura Fwy to Ventura Bl. / Burbank City limits to Vineland Av.
16P297 Th,2/4,8:00 AM,10:00 AM,Ventura Fwy to Ventura Bl. / Burbank City limits to Vineland Av.
16P358 F,2/4,10:00 AM,12:00 PM,Aqua Vista St.to Regal Pl. / Hollywood Way to Tujunga Av.
16P358 Th,2/4,10:00 AM,12:00 PM,Aqua Vista St.to Regal Pl. / Hollywood Way to Tujunga Av.
17NP100,6,4:00 AM,6:30 AM,Laurel Cyn. Bl. / Saticoy St to Runnymede St.
17P192 Th,2,10:00 AM,12:00 PM,Sherman Way to Victory Bl. / Clybourn Av. to Lankershim Bl.
17P192 W,2,10:00 AM,12:00 PM,Sherman Way to Victory Bl. / Clybourn Av. to Lankershim Bl.
17P193 Th,2/4,12:00 PM,2:00 PM,Sherman Way to Chandler Bl. / Rhodes Av. to Fulton Av.
17P193 W,2/4,12:00 PM,2:00 PM,Sherman Way to Chandler Bl. / Rhodes Av. to Fulton Av.
17P290 F,2/4,8:00 AM,10:00 AM,Chandler Bl. to Ventura Bl. / Ledge Av. to Vineland Av.
17P290 Th,2/4,8:00 AM,10:00 AM,Chandler Bl. to Ventura Bl. / Ledge Av. to Vineland Av.
17P291 Th,2/4/6,8:00 AM,10:00 AM,5 Fwy to Sherman Way / Hollywood Way to Lankershim Bl.
17P291 W,2/4/6,8:00 AM,10:00 AM,5 Fwy to Sherman Way / Hollywood Way to Lankershim Bl.
17P292 Th,2,12:00 PM,2:00 PM,Sherman Way to Chandler Bl. / Hazelhurst Pl. to Laurel Grove Av.
17P292 W,2,12:00 PM,2:00 PM,Sherman Way to Chandler Bl. / Hazelhurst Pl. to Laurel Grove Av.
17P293 Th,2,8:00 AM,10:00 AM,Erwin St. to Chandler Bl. / Cahuenga Bl. to Lankershim Bl.
17P293 W,2,8:00 AM,10:00 AM,Erwin St. to Chandler Bl. / Cahuenga Bl. to Lankershim Bl.
17P294A F,2,10:00 AM,12:00 PM,Magnolia Bl. to Riverside Dr. / Lankershim Bl. to 170 Fwy
17P294A Th,2,10:00 AM,12:00 PM,Magnolia Bl. to Riverside Dr. / Lankershim Bl. to 170 Fwy
17P294B F,2,10:00 AM,12:00 PM,Chandler Bl. to Riverside Dr. / Lankershim Bl. to Colfax Av.
17P294B Th,2,10:00 AM,12:00 PM,Chandler Bl. to Riverside Dr. / Lankershim Bl. to Colfax Av.
17P295 F,2,12:00 PM,2:00 PM,Burbank Bl. to Ventura Fwy / Colfax Av. to Whitsett Av.
17P295 Th,2,12:00 PM,2:00 PM,Burbank Bl. to Ventura Fwy / Colfax Av. to Whitsett Av.
17P305 Th,2/6,10:00 AM,12:00 PM,San Fernando Rd. to Sherman Way / Lankershim Bl. to Whitsett Av.
17P305 W,2/6,10:00 AM,12:00 PM,San Fernando Rd. to Sherman Way / Lankershim Bl. to Whitsett Av.
17P306 Th,2,8:00 AM,10:00 AM,Oxnard St. to Chandler Bl. / Colfax Av. to Laurel Cyn. Bl.
17P306 W,2,8:00 AM,10:00 AM,Oxnard St. to Chandler Bl. / Colfax Av. to Laurel Cyn. Bl.
17P307 Th,2,10:00 AM,12:00 PM,Oxnard St. to Burbank Bl. / Lankershim Bl. to Colfax Av.
17P307 W,2,10:00 AM,12:00 PM,Oxnard St. to Burbank Bl. / Lankershim Bl. to Colfax Av.
17P401 Th,6,12:00 PM,2:00 PM,Strathern St. to Saticoy St. / Vineland Av. to Tujunga Av.
17P401 W,6,12:00 PM,2:00 PM,Strathern St. to Saticoy St. / Vineland Av. to Tujunga Av.
17P402 Th,6,10:00 AM,12:00 PM,San Fernando Rd. to Saticoy St. / Tujunga Av. to Lankershim Bl.
17P402 W,6,10:00 AM,12:00 PM,San Fernando Rd. to Saticoy St. / Tujunga Av. to Lankershim Bl.
17P403 Th,6,8:00 AM,10:00 AM,Strathern St. to Saticoy St / Lankershim Bl. to Laurel Cyn. Bl.
17P403 W,6,8:00 AM,10:00 AM,Strathern St. to Saticoy St / Lankershim Bl. to Laurel Cyn. Bl.
17P404 Th,2,12:00 PM,2:00 PM,Saticoy St. to Sherman Way / Vineland Av. to Tujunga AV.
17P404 W,2,12:00 PM,2:00 PM,Saticoy St. to Sherman Way / Vineland Av. to Tujunga AV.
17P405 Th,2,10:00 AM,12:00 PM,Saticoy St. to Sherman Way /Tujunga Av. to Lankershim Bl.
17P405 W,2,10:00 AM,12:00 PM,Saticoy St. to Sherman Way /Tujunga Av. to Lankershim Bl.
17P406 Th,2,8:00 AM,10:00 AM,Saticoy St. to Sherman Way / Lankershim Bl. to Laurel Cyn. Bl.
17P406 W,2,8:00 AM,10:00 AM,Saticoy St. to Sherman Way / Lankershim Bl. to Laurel Cyn. Bl.
17P407 Th,2,12:00 PM,2:00 PM,Sherman Way to Kittridge St. / Fair Av. to Laurel Cny. Bl.
17P407 W,2,12:00 PM,2:00 PM,Sherman Way to Kittridge St. / Fair Av. to Laurel Cny. Bl.
18P300 Th,6,10:00 AM,12:00 PM,San Fernando Rd. to Beachy Av. / Brandford St. to Sheldon St.
18P300 W,6,10:00 AM,12:00 PM,San Fernando Rd. to Beachy Av. / Brandford St. to Sheldon St.
18P404 Th,7,8:00 AM,10:00 AM,City Line to Foothill Bl. / Little Tujunga Rd. to Van Nuys Bl.
18P404 W,7,8:00 AM,10:00 AM,City Line to Foothill Bl. / Little Tujunga Rd. to Van Nuys Bl.
18P406 Th,2/6,10:00 AM,12:00 PM,Glenoaks Bl. to San Fernando Rd. / Ledge Av. to Tuxford St.
18P406 W,2/6,10:00 AM,12:00 PM,Glenoaks Bl. to San Fernando Rd. / Ledge Av. to Tuxford St.
18P407 Th,7,8:00 AM,10:00 AM,Plainview Av. to Mount Gleason Av. / Ellenbogen St. to Summitrose St.
18P407 W,7,8:00 AM,10:00 AM,Plainview Av. to Mount Gleason Av. / Ellenbogen St. to Summitrose St.
18P408 Th,7,10:00 AM,12:00 PM,Mount Gleason Av. to Woodward Av. / Ellenbogen St. Foothill Bl.
