SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
CB848,1201 S. SANTEE ST,Single-Space,TOD,$3 - $4,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,"(34.035443, -118.258104)"
CB3317,301 W. 9TH ST,Single-Space,TOD,$0.5 - $5,4HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat",,"(34.043303, -118.257424)"
WSV144,1101 WELLESLEY AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,9A-12P Thu,"(34.042909, -118.469444)"
MV139,3800 CENTINELA AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,8A-10A Thu,"(34.002551, -118.432562)"
CB405,1401 S LOS ANGELES ST,Single-Space,TOD,$0.5 - $1,2HR,8A-6P Mon-Sat,,"(34.034028, -118.260842)"
WH252,22101 CLARENDON  ST,Single-Space,FLAT,$1.00,30MIN,8A-8P Mon-Sat,4A-630A Fri,"(34.1697, -118.608824)"
BW131,11700 S BARRINGTON CT,Single-Space,FLAT,$2.00,1HR,PKG 8A-9P Daily | NP 2A-4A Daily,,"(34.064268, -118.469661)"
VN413,6400 VESPER AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Mon,"(34.187463, -118.450838)"
WW1796,500 S HARVARD BL,Single-Space,FLAT,$1.00,30MIN,8A-6P Mon-Sat,8A-10A Wed,"(34.064052, -118.304039)"
CC1223,300 S. LOS ANGELES ST,Single-Space,TOD,$0.5 - $5,2HR,8A-8P Mon-Sat,,"(34.047988, -118.245104)"
BF199,700 GARDNER ST,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083973, -118.353178)"
OS519C,12300 OLYMPIC BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.031663, -118.456978)"
CC319A,201 N. FIGUEROA ST,Single-Space,TOD,$0.5 - $1.5,2HR,8A-6P Mon-Fri,,"(34.059051, -118.250402)"
ED246,800 E 12TH ST,Single-Space,TOD,$0.5 - $1.5,2HR,8A-6P Mon-Sat,,"(34.032213, -118.250385)"
SO41,14600 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.151493, -118.452771)"
LC347,8401 BEVERLY BL,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.076152, -118.373414)"
PR639,1601 ROBERTSON BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.05025, -118.384693)"
R514,18401 BASSETT ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.195731, -118.535739)"
CB2068,1401 S MAPLE AVE,Single-Space,FLAT,$0.50,4HR,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Sat,,"(34.032689, -118.258826)"
P91,801 SWARTHMORE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.046715, -118.526051)"
WS449,1500 SEPULVEDA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.049975, -118.446147)"
BF18,501 FAIRFAX AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.080998, -118.361565)"
VW1953,1601 HOOVER ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,8A-10A Thu,"(34.043347, -118.284279)"
